Date,Sources,Demands
2019-08-12,0.11244964449859518,-0.056418247732063165
2019-08-13,0.7169103963862276,0.5412774174640249
2019-08-14,1.3073151068266051,1.115267261611232
2019-08-15,2.2371118028142427,1.8703043855469175
2019-08-16,2.208491802800706,1.96495602152905
2019-08-17,2.4155833724616205,2.258527909592773
2019-08-18,1.0315643742334633,0.9860979875942333
2019-08-19,-0.04043928057167335,-0.22367817649260185
2019-08-20,0.3986807345764511,0.23778437484949477
2019-08-21,0.7200786558277328,0.52142256405609
2019-08-22,1.1021450080900155,0.9561700556178905
2019-08-23,0.7108765690707424,0.6971009093998236
2019-08-24,1.9969943620943298,1.715253421686435
2019-08-25,2.5180931138880065,2.3939647237322377
2019-08-26,0.7141733471742127,0.6581107631301353
2019-08-27,1.4468050603809535,1.3106023619498546
2019-08-28,1.4372368370333706,1.3107202183300881
2019-08-29,0.7783076715863458,0.7324905404117944
2019-08-30,1.067190461657277,0.897728462328401
2019-08-31,2.9795939332125885,2.3947691752351186
2019-09-01,2.874769293341857,2.8112706005669934
2019-09-02,1.4929235376785919,1.5396568997839153
2019-09-03,0.7525560834719823,0.7183049353758673
2019-09-04,1.4133122679770969,1.2440963854714264
2019-09-05,1.4872726919058603,1.3518668258572837
2019-09-06,1.2371920112891992,1.0964034543426984
2019-09-07,2.6624621524796965,2.27494213717029
2019-09-08,1.1427236612895015,1.1012972156207859
2019-09-09,-0.5417083322005687,-0.36761275016917083
2019-09-10,-0.19770093903368846,-0.2695445113399624
2019-09-11,-0.24117239411027608,-0.2693486216483794
2019-09-12,0.12229861399533344,-0.06665810541949822
2019-09-13,0.7197487420349433,0.5739116135923469
2019-09-14,3.0434568869765384,2.6465145070256426
2019-09-15,2.5316247011241564,2.3720027307096707
2019-09-16,-0.08783467348920765,-0.1549355330291182
2019-09-17,-0.31783681891275206,-0.2512090352651278
2019-09-18,-0.18464013889664585,-0.29081729121148286
2019-09-19,0.9936671123490753,-0.19004101635889675
2019-09-20,0.0868964344208039,-0.30679918094591324
2019-09-21,-0.08453938234012597,0.19319565622261098
2019-09-22,0.7934100404694129,0.6942067618791998
2019-09-23,-0.3807818997789697,-0.19942108564206257
2019-09-24,-0.44131946309994996,-0.029713784585432165
2019-09-25,0.8000781652306028,0.5986873407348999
2019-09-26,0.6346685964073084,0.5477651906553654
2019-09-27,-0.03978436369794834,-0.12445258154576773
2019-09-28,0.06558253915730797,-0.05804253519792033
2019-09-29,-0.5525536223172062,-0.5158124898238202
2019-09-30,-0.5714888220862429,-0.5205992767705642
2019-10-01,-0.5081052948063387,-0.5381909111994169
2019-10-02,-1.168431859746922,-0.6789346199880744
2019-10-03,-0.27904904343706005,-0.4845366671693472
2019-10-04,-0.37048503508313185,-0.51406919318089
2019-10-05,-0.3983515064832095,-0.5223788071834572
2019-10-06,-0.2531250576018482,-0.3547912516270905
2019-10-07,-0.41001802596853865,-0.5178407549620764
2019-10-08,-0.13916455099106154,-0.24622169287681944
2019-10-09,0.0920662169145929,-0.1274953263698698
2019-10-10,-0.45756578247293855,-0.5196231673147055
2019-10-11,-0.46124233723353136,-0.5245956563121232
2019-10-12,-0.5292909629098186,-0.4359782918740313
2019-10-13,-0.2633474126327196,-0.5123983100039877
2019-10-14,-0.5217951767616129,-0.49460187580391624
2019-10-15,-0.4985786816444403,-0.5252186067022135
2019-10-16,-0.2952375374603661,-0.45176424266041065
2019-10-17,-0.33324560705494033,-0.46845042336614146
2019-10-18,-0.4508637813246993,-0.5205780884602988
2019-10-19,-0.2950831935577875,-0.4997101015237942
2019-10-20,-0.5478145383704734,-0.5441077355305244
2019-10-21,-0.4802743663600119,-0.5415747214918673
2019-10-22,-0.3302855840430981,-0.42371898354738785
2019-10-23,-0.2414534147489216,-0.3091998661045322
2019-10-24,-0.25578198761755433,-0.3320099645674224
2019-10-25,0.022052397966022146,-0.09179237342930337
2019-10-26,0.3307074871820502,0.29445228947128277
2019-10-27,-0.10551117929107401,-0.30729933220361105
2019-10-28,-0.6306927515561602,-0.6084163779717243
2019-10-29,-0.42699235133985436,-0.4510869876602248
2019-10-30,-0.6101907733027815,-0.47769979188578815
2019-10-31,-0.43497870386142107,-0.4877161603411289
2019-11-01,-0.46622589120409924,-0.5024329918107853
2019-11-02,-0.5039599303178871,-0.639437192735316
2019-11-03,-0.8659716394233794,-0.6166412884784229
2019-11-04,0.017745589163308772,-0.18489872743508304
2019-11-05,-0.3473602933943951,-0.40283124064798587
2019-11-06,-0.3810238954714423,-0.46100923810635347
2019-11-07,-0.4431601997621255,-0.4635809817621968
2019-11-08,-0.3828950906521306,-0.42027298806378677
2019-11-09,-0.47540310770834443,-0.5752949078182718
2019-11-10,-0.8290536526560064,-0.6733128504875535
2019-11-11,-0.8531008583163893,-0.5885563055076305
2019-11-12,-0.42523970421124085,-0.5135328689296369
2019-11-13,-0.514088714204463,-0.5517294992606883
2019-11-14,-0.5534157152863427,-0.5176877666766245
2019-11-15,-0.9378318078370945,-0.6296895545829742
2019-11-16,-0.8005178466499796,-0.7062791304064199
2019-11-17,-0.9377924331540148,-0.7766908655566015
2019-11-18,-0.2538730270670182,-0.35642780538473134
2019-11-19,-0.3681481984179955,-0.3739685071246451
2019-11-20,-0.28345721541766156,-0.43726788624817237
2019-11-21,-0.3725911229273082,-0.4169754098933387
2019-11-22,-0.5294749644366649,-0.46493075640422626
2019-11-23,-0.751365202770574,-0.7562097397571569
2019-11-24,-0.9978033509282479,-0.897758726447254
2019-11-25,-0.3277797184512481,-0.26229501933712396
2019-11-26,-0.3635437190134348,-0.41091400658814253
2019-11-27,-0.32295425995773086,-0.41224201709748365
2019-11-28,-0.6765137957720583,-0.5858261754274832
2019-11-29,-0.8022033904224173,-0.8601307991468051
2019-11-30,-0.8642308368924979,-0.794249443449673
2019-12-01,-0.7056701544652021,-0.6083480373278899
2019-12-02,-0.2078205299760685,-0.2396351697530171
2019-12-03,-0.39729482467568084,-0.3592041625378647
2019-12-04,-0.3765375774126666,-0.37884119679294415
2019-12-05,-0.3024405732062959,-0.3478952813237477
2019-12-06,-0.3082476532275817,-0.4032156608844425
2019-12-07,-0.7789812141252754,-0.5104078203177594
2019-12-08,-0.49985848676514144,-0.5276955915609456
2019-12-09,-0.3867799783553774,-0.17593943053444033
2019-12-10,-0.39426422514863363,-0.30406268721636054
2019-12-11,-0.3251726166206302,-0.27163808573728554
2019-12-12,-0.22833788029521426,-0.3550939167739737
2019-12-13,-0.42083320076031683,-0.44311484769764126
2019-12-14,-0.6860701470402442,-0.5350921463415236
2019-12-15,-0.8650330100164629,-0.7152857362419891
2019-12-16,0.16323381464720976,-0.0560384042278747
2019-12-17,0.016528038847839013,-0.17817926522354596
2019-12-18,0.022887248098645178,-0.15862155810864068
2019-12-19,-0.40456485581410156,-0.24350970865604654
2019-12-20,-0.22122240898674222,-0.28329282206144324
2019-12-21,-0.5285813499974625,-0.5797937453282933
2019-12-22,-0.4150329823219564,-0.4910532815062985
2019-12-23,-0.35766630915760556,-0.4963764338269881
2019-12-24,-0.6139530960505465,-0.5528342019595254
2019-12-25,-0.7859775478345198,-0.6610078655315715
2019-12-26,-0.816273629748574,-0.5731232632457932
2019-12-27,-0.7043881004282261,-0.5775767606483408
2019-12-28,-0.6915641297577476,-0.6889059425482104
2019-12-29,-0.7624917216013225,-0.6664090929844816
2019-12-30,-0.5680953360026836,-0.5379980668561641
2019-12-31,-0.5618823364086983,-0.6245917567121952
2020-01-01,-0.4894668957135786,-0.5521960634021255
2020-01-02,-0.5523948263848538,-0.43662223888957785
2020-01-03,-0.4538796981177505,-0.4355877196059641
2020-01-04,-0.6128897126426442,-0.6949151383959064
2020-01-05,-0.7402286622925565,-0.6985029866075863
2020-01-06,-0.2569297577317862,-0.26941119013933057
2020-01-07,-0.08877055800122371,-0.27915684340612235
2020-01-08,-0.27377255454446364,-0.30102457173224945
2020-01-09,-0.231116093770178,-0.30787581632488376
2020-01-10,-0.3345309726325813,-0.31247338687145626
2020-01-11,-0.6348159720384944,-0.6886305246760569
2020-01-12,-0.9378276149201646,-0.7937121193724113
2020-01-13,0.010305415109243196,-0.07933236793093307
2020-01-14,-0.16299431648121682,-0.2860751539787568
2020-01-15,0.0308130140174951,-0.054851311027537
2020-01-16,-0.22110457643945247,-0.2791419328344423
2020-01-17,-0.12381982064764399,-0.34138664461461377
2020-01-18,-0.5828769817470179,-0.7064620489255669
2020-01-19,-0.7398828644244031,-0.8276505010998723
2020-01-20,-0.5269956107998968,-0.6149093757348311
2020-01-21,-0.18913024386346344,-0.31160918699368545
2020-01-22,-0.2526686967411943,-0.36682408035483777
2020-01-23,-0.4762529144101286,-0.31519604620111763
2020-01-24,-0.27253895657228894,-0.36793622294468714
2020-01-25,-0.5464304246262598,-0.6073694438938362
2020-01-26,-0.6489885445798904,-0.7337673122021783
2020-01-27,0.12555186702994314,-0.07780750204491099
2020-01-28,-0.1816597810883168,-0.27599460005188725
2020-01-29,-0.3200580117489399,-0.380553350815835
2020-01-30,-0.17438616948150673,-0.36173630762400577
2020-01-31,-0.37620842427311235,-0.416238561932718
2020-02-01,-0.8905020306670217,-0.7650642822536774
2020-02-02,-1.0032998567243534,-0.8520700757029623
2020-02-03,-0.0206980883815245,-0.06129313041281608
2020-02-04,0.02301862092784669,-0.14818142257527078
2020-02-05,0.01345394762252383,-0.11106533082300377
2020-02-06,-0.0477441247639014,-0.20316922818945624
2020-02-07,0.005753849688185835,-0.1987478452011046
2020-02-08,-0.7892177627819343,-0.8046792008093187
2020-02-09,-0.9208097036277293,-0.8437564345739608
2020-02-10,-0.46424769812265426,-0.16001153552373681
2020-02-11,-0.319389674334845,-0.2874615997993551
2020-02-12,-0.11444768258055946,-0.28408792035102226
2020-02-13,-0.2678405664285687,-0.3368944127425419
2020-02-14,-0.3188701556999579,-0.44554259193707146
2020-02-15,-0.7170819944880482,-0.7918182174656647
2020-02-16,-0.8704089838459912,-0.8177335082144271
2020-02-17,-0.8762927125218567,-0.7793294654597305
2020-02-18,-0.14359162774006773,-0.3205761570815662
2020-02-19,-0.4628537923993744,-0.34767571309500966
2020-02-20,-0.36079436946607263,-0.400709031556329
2020-02-21,-0.3841676170574871,-0.45741199178851666
2020-02-22,-0.5893745075277841,-0.6869882282984682
2020-02-23,-0.6714317576552022,-0.7271784379634814
2020-02-24,-0.2599956280132331,-0.13452187682645775
2020-02-25,-0.36016561873647507,-0.39654872851416273
2020-02-26,-0.127848737141275,-0.351262440346773
2020-02-27,-0.39119328646292023,-0.36766760578145624
2020-02-28,-0.5050231135022282,-0.5426072331293235
2020-02-29,-0.5538284261019909,-0.6865374221075224
2020-03-01,-0.9536904325617359,-0.7415971537197571
2020-03-02,0.1769001798217532,-0.01749703384709391
2020-03-03,-0.3925126920089517,-0.34490320332234803
2020-03-04,-0.34697999818442227,-0.44345260645467144
2020-03-05,-0.2497169332784169,-0.5004466152316293
2020-03-06,-0.5838699021651653,-0.5166196102871954
2020-03-07,-0.7149915453472248,-0.6815368213861082
2020-03-08,-1.045026123981473,8.58860497108344
2020-03-09,-0.4552091511569028,-0.41198995412200695
2020-03-10,-0.5795494431538795,-0.5042196997393443
2020-03-11,-0.44913964446082866,-0.5492933604065452
2020-03-12,-0.3126628366316167,-0.4432280418886024
2020-03-13,-0.6227325507835629,-0.4626042425147445
2020-03-14,-0.6573419265190088,-0.5211001696330848
2020-03-15,-0.39953618218376163,-0.5422490928766892
2020-03-16,-0.44993292366728915,-0.3920242772219025
2020-03-17,-0.29230960943477136,-0.38033962392943443
2020-03-18,-0.8023422039124909,-0.7302052167101875
2020-03-19,-0.7615289681997385,-0.6007662587835744
2020-03-20,-0.4089342940233167,-0.4552604471014883
2020-03-21,-0.6488531159149229,-0.6889303314467159
2020-03-22,-0.7306793492751443,-0.7257902774522741
2020-03-23,-0.8615299270518026,-0.7270820346426647
2020-03-24,-0.7147662673406295,-0.5981076129292565
2020-03-25,-0.5636884393022159,-0.622216001714687
2020-03-26,-0.5809341745812363,-0.5697745717677211
2020-03-27,-0.6374199108603045,-0.6493957042501727
2020-03-28,-0.7629674086159156,-0.7490515538510618
2020-03-29,-0.8026036369942144,-0.735530288148046
2020-03-30,-0.775200207116753,-0.6280151552762201
2020-03-31,-0.7114696924051843,-0.7230185854556704
2020-04-01,-0.6872687503833231,-0.733929526807055
2020-04-02,-0.8240273974122103,-0.6742653966056511
2020-04-03,-0.6680541458321264,-0.6936707160079425
2020-04-04,-0.618885239350134,-0.6394063826924347
2020-04-05,-0.6623984822617424,-0.5604306962838191
2020-04-06,-0.7665798260772059,-0.7205409342906283
2020-04-07,-0.6067380645577258,-0.6578747230103072
2020-04-08,-0.7417815101899076,-0.6588004376885768
2020-04-09,-0.701674697226201,-0.7081908918845934
2020-04-10,-0.7817412046388631,-0.6853638809638354
2020-04-11,-0.482133948574147,-0.6471301758025221
2020-04-12,-0.8035240581620753,-0.6904766565710316
2020-04-13,-0.772567149507612,-0.7551807376168601
2020-04-14,-0.6486272048485382,-0.6567173273757985
2020-04-15,-0.8242170873166048,-0.7637300018253461
2020-04-16,-0.5968881803141292,-0.6992923740443229
2020-04-17,-0.6884833889509251,-0.7204324491366931
2020-04-18,-0.5484643191172568,-0.6382366455374475
2020-04-19,-0.6929460227216772,-0.6763423344301991
2020-04-20,-0.9816914934545024,-0.7567959068412687
2020-04-21,-0.7260721040372716,-0.7157450538179421
2020-04-22,-0.9489030715081889,-0.7829025701737597
2020-04-23,-0.7950621305155527,-0.5573668162458996
2020-04-24,-0.2792337948207729,-0.4124167031887002
2020-04-25,1.339494172247098,0.7526765628921805
2020-04-26,0.6798649467108633,0.7156987271334742
2020-04-27,-0.41186433322969723,-0.5312807975872634
2020-04-28,-0.8480057284576583,-0.6062271389958773
2020-04-29,-0.022018318050351388,-0.22453577705093544
2020-04-30,-0.4339645675976845,-0.36457743776557466
2020-05-01,-0.3970670163929048,-0.4983695073308858
2020-05-02,-0.27104120025325107,-0.3677874678529484
2020-05-03,-0.2853971458419816,-0.37438004679941317
2020-05-04,-0.6832400040142866,-0.689910412035122
2020-05-05,-0.3121419897162419,-0.4019969624512279
2020-05-06,-0.3325344532063528,-0.22924005169900144
2020-05-07,-0.1582981058952828,0.0234273426348376
