Date,Sources,Demands
2019-05-09,-0.508922438463088,-0.6528587482438503
2019-05-10,-0.6031478530935913,-0.7452127761904995
2019-05-11,-0.649558530684159,-0.7917852694602039
2019-05-12,-0.480575922856479,-0.5335257443172652
2019-05-13,-0.42547221987851674,-0.4132668336510759
2019-05-14,-0.4613144933741917,-0.4970069223301999
2019-05-15,-0.5247636498722431,-0.6687181285747784
2019-05-16,-0.6686388023103892,-0.8040897127707906
2019-05-17,-0.7380095024329859,-0.8566730338593935
2019-05-18,-0.7061918004449931,-0.8843505955569926
2019-05-19,-0.736507170709257,-0.8524082460175193
2019-05-20,-0.6162188701143788,-0.7118814302461887
2019-05-21,-0.6309424502888572,-0.775804553911925
2019-05-22,-0.6580988115981804,-0.7842804570406914
2019-05-23,-0.582141748293457,-0.7491842924252134
2019-05-24,-0.6856119790801924,-0.8049158976504398
2019-05-25,-0.7154378290262143,-0.8348070988632337
2019-05-26,-0.7531636897810721,-0.8805375548808281
2019-05-27,-0.6429402323966066,-0.7346033117074318
2019-05-28,-0.4791474036426858,-0.598972751947414
2019-05-29,-0.4150315925520284,-0.5314003567165043
2019-05-30,-0.43290394220007744,-0.5334153473744002
2019-05-31,-0.5085937170129169,-0.6034296832406371
2019-06-01,-0.6237817882129024,-0.7073755039539311
2019-06-02,-0.5146410690112652,-0.5689426350169255
2019-06-03,-0.0790527023061269,-0.09818429539344588
2019-06-04,0.3099983945939371,0.34776120038701047
2019-06-05,0.3829662714406871,0.4680049788071088
2019-06-06,-0.3988837036029412,-0.4404477771410136
2019-06-07,-0.531494463461363,-0.6496363323462933
2019-06-08,-0.34861368289015265,-0.3153709232557977
2019-06-09,0.925523805167614,0.9993781530463409
2019-06-10,2.8447375978420513,2.9517231353837095
2019-06-11,2.6424494569468164,2.8087210727729137
2019-06-12,1.090076630273218,1.43167459948811
2019-06-13,-0.1926794430678831,0.03741504939963945
2019-06-14,-0.46614568613022883,-0.41182271813805893
2019-06-15,-0.5284052024073154,-0.584908071106505
2019-06-16,-0.4044640100957291,-0.38046828450584663
2019-06-17,0.061433642814405935,0.1262107686913455
2019-06-18,0.18314792763253576,0.22685686206641678
2019-06-19,0.21961272431838547,0.25817845976454756
2019-06-20,-0.4149513703885777,-0.48949101189763994
2019-06-21,-0.48836812856736356,-0.6070147321849555
2019-06-22,-0.17653778522885746,-0.24133583233881786
2019-06-23,0.30859529496230015,0.424171750168052
2019-06-24,0.3535141808542707,0.489684494563901
2019-06-25,-0.21041135622490964,-0.2318707843888148
2019-06-26,-0.39367882741213167,-0.496721427444297
2019-06-27,-0.3167002696737218,-0.42011254528937886
2019-06-28,-0.21485972026671207,-0.28662867967358396
2019-06-29,-0.24078046155939106,-0.28948032825926606
2019-06-30,0.12566543238825836,0.15119707497016208
2019-07-01,0.6274325600788472,0.6707252749163533
2019-07-02,0.16701983706349405,0.18496693277977827
2019-07-03,-0.11628975432254356,-0.1470389537812563
2019-07-04,-0.34610879846045345,-0.4014427915667349
2019-07-05,0.2798734883411915,0.3084719227256942
2019-07-06,-0.04346143875543302,-0.027156997814231754
2019-07-07,-0.2908636022446039,-0.2841989863027521
2019-07-08,-0.15196641497622224,-0.19172749290504248
2019-07-09,0.1559270439652734,0.12717323542287845
2019-07-10,0.5572112585866745,0.626189253082386
2019-07-11,0.8784000752366715,1.1529029618837274
2019-07-12,1.12808783088305,1.5708537097572475
2019-07-13,0.7993917821703114,1.0543237863692834
2019-07-14,0.9157273419860474,1.1696711952245662
2019-07-15,1.8404475774305107,2.149400031516052
2019-07-16,0.9900360699658945,1.15324430932494
2019-07-17,0.7976533735269842,0.8644781689459943
2019-07-18,0.6621427341075217,0.6118511295731026
2019-07-19,0.16149084717006632,0.12699688850031846
2019-07-20,7.971669348355523e-05,0.025458882788816074
